,Epsilon_255,Accuracy Top 1,Accuracy Top 5,Confidence
0,0.0,1.0,1.0,0.9954217672348022
1,0.1,1.0,1.0,0.9827304482460022
2,0.2,1.0,1.0,0.9461767673492432
3,0.3,1.0,1.0,0.8758148550987244
4,0.4,1.0,1.0,0.7861996293067932
5,0.5,0.9487179487179487,1.0,0.697708785533905
6,0.7,0.9230769230769231,0.9743589743589743,0.5598363876342773
7,1.0,0.8461538461538461,0.9487179487179487,0.4266815185546875
8,2.0,0.6923076923076923,0.7948717948717948,0.2631734013557434
9,4.0,0.5384615384615384,0.717948717948718,0.21132312715053558
10,10.0,0.5641025641025641,0.717948717948718,0.25212496519088745
11,20.0,0.4358974358974359,0.6923076923076923,0.302333801984787
12,30.0,0.3333333333333333,0.48717948717948717,0.2815018594264984
13,40.0,0.1794871794871795,0.46153846153846156,0.3118550479412079
14,50.0,0.1282051282051282,0.23076923076923078,0.33326417207717896
15,60.0,0.10256410256410256,0.1794871794871795,0.3617308437824249
