,Epsilon_255,Accuracy Top 1,Accuracy Top 5,Confidence
0,0.0,1.0,1.0,0.8780299425125122
1,0.1,1.0,1.0,0.6665813326835632
2,0.2,0.927536231884058,1.0,0.4592779278755188
3,0.3,0.8260869565217391,0.9710144927536232,0.333536833524704
4,0.4,0.7101449275362319,0.927536231884058,0.25868892669677734
5,0.5,0.6231884057971014,0.855072463768116,0.21264836192131042
6,0.7,0.391304347826087,0.7536231884057971,0.16609545052051544
7,1.0,0.2898550724637681,0.6376811594202898,0.13935524225234985
8,2.0,0.10144927536231885,0.43478260869565216,0.116733118891716
9,4.0,0.07246376811594203,0.2028985507246377,0.11910559982061386
10,10.0,0.057971014492753624,0.2753623188405797,0.15481847524642944
11,20.0,0.10144927536231885,0.3333333333333333,0.1858026534318924
12,30.0,0.13043478260869565,0.2898550724637681,0.1967427283525467
13,40.0,0.057971014492753624,0.2318840579710145,0.22028134763240814
14,50.0,0.028985507246376812,0.15942028985507245,0.2664078176021576
15,60.0,0.043478260869565216,0.11594202898550725,0.28703930974006653
