,Epsilon_255,Num_Iter,Accuracy,Confidence
0,0.0,0,0.981,0.8177617192268372
1,4.0,1,0.969,0.7778640389442444
2,10.0,1,0.9495,0.7099729776382446
3,20.0,1,0.8842,0.5826488137245178
4,30.0,1,0.7724,0.4580833911895752
5,40.0,1,0.608,0.36090999841690063
6,50.0,1,0.4008,0.30295220017433167
7,60.0,1,0.2215,0.27598080039024353
8,90.0,2,0.1076,0.33790960907936096
