,Epsilon 1,Epsilon 2,Epsilon 4,Epsilon 6,Epsilon 8,Epsilon 10
0,0.1516498327255249,0.08423639833927155,0.04190433397889137,0.04055244103074074,0.053289417177438736,0.08420277386903763
1,0.10501810908317566,0.06670986860990524,0.07749632000923157,0.07822638005018234,0.04569453001022339,0.03908098489046097
2,0.19905807077884674,0.08548884093761444,0.046457439661026,0.04528158903121948,0.050924163311719894,0.06293236464262009
3,0.16207773983478546,0.14953337609767914,0.10600805282592773,0.13825462758541107,0.1457187831401825,0.12312290817499161
4,0.018643444404006004,0.02813342586159706,0.01772567816078663,0.01903252676129341,0.016588598489761353,0.020694246515631676
5,0.053544215857982635,0.06206967309117317,0.1215657964348793,0.10223269462585449,0.05446440726518631,0.042117889970541
6,0.11850897967815399,0.1288832575082779,0.12658211588859558,0.10998213291168213,0.11321861296892166,0.1482999473810196
7,0.4976651668548584,0.6156071424484253,0.5881397724151611,0.41730067133903503,0.23491472005844116,0.10588154941797256
8,0.3538650870323181,0.4358557164669037,0.35725781321525574,0.3309524357318878,0.3338369131088257,0.3132479190826416
9,0.18666312098503113,0.16270464658737183,0.1301664412021637,0.10874371230602264,0.14469918608665466,0.16311131417751312
10,0.16963735222816467,0.1516239196062088,0.1218961775302887,0.16760405898094177,0.18114608526229858,0.1501910239458084
11,0.14304928481578827,0.04394000768661499,0.03282426670193672,0.02825552597641945,0.02699872851371765,0.03137778863310814
12,0.22384518384933472,0.17886660993099213,0.13243888318538666,0.1396394520998001,0.15348292887210846,0.19890891015529633
13,0.06468327343463898,0.10477852076292038,0.11871220171451569,0.08380669355392456,0.07685147970914841,0.063300222158432
14,0.04768214002251625,0.07263613492250443,0.09310978651046753,0.09843429923057556,0.12067902833223343,0.14137914776802063
15,0.0912155956029892,0.05775388702750206,0.043930381536483765,0.03957388922572136,0.08632452040910721,0.14173001050949097
16,0.11879805475473404,0.132664293050766,0.17487017810344696,0.2237025648355484,0.18380950391292572,0.1392500251531601
17,0.36526691913604736,0.41038358211517334,0.4278595447540283,0.4216969311237335,0.43939974904060364,0.4353739619255066
18,0.06754796952009201,0.08037284016609192,0.037977609783411026,0.030327647924423218,0.044407568871974945,0.04129847139120102
19,0.05584918335080147,0.06290145963430405,0.07726068794727325,0.0909438282251358,0.09902884811162949,0.12759168446063995
20,0.10788965225219727,0.06405945122241974,0.07945513725280762,0.1076681837439537,0.21823137998580933,0.3252994120121002
21,0.056747917085886,0.0567641444504261,0.05308767035603523,0.049252137541770935,0.037826329469680786,0.033423181623220444
22,0.16630439460277557,0.2787688076496124,0.30070364475250244,0.2559469938278198,0.20423269271850586,0.24210740625858307
23,0.17289431393146515,0.16447624564170837,0.15785326063632965,0.2570619583129883,0.34096187353134155,0.31268924474716187
24,0.1451207846403122,0.09978631883859634,0.11469782143831253,0.19859935343265533,0.22238102555274963,0.23464487493038177
25,0.034261658787727356,0.03508257865905762,0.06203055381774902,0.07020685821771622,0.08165007084608078,0.04793175309896469
26,0.059913184493780136,0.054478906095027924,0.052048686891794205,0.04426451027393341,0.045817937701940536,0.05340185761451721
27,0.21809661388397217,0.12135986238718033,0.14422793686389923,0.2377852201461792,0.2887694537639618,0.3274196982383728
28,0.1953708976507187,0.07053705304861069,0.06365302950143814,0.07725474238395691,0.08220487087965012,0.07766278833150864
29,0.023537397384643555,0.016210516914725304,0.02361840382218361,0.04998573288321495,0.08660966157913208,0.09751029312610626
30,0.05727502331137657,0.030259352177381516,0.04495096579194069,0.06972713023424149,0.09247583150863647,0.08637268841266632
31,0.059599075466394424,0.08507215976715088,0.039225272834300995,0.03638124465942383,0.03272826597094536,0.03467409312725067
32,0.04863507300615311,0.04671856388449669,0.05750959366559982,0.06156224012374878,0.07098758220672607,0.09044487029314041
33,0.22894127666950226,0.18527252972126007,0.09810980409383774,0.0910598561167717,0.10367729514837265,0.12336882203817368
34,0.2251410037279129,0.13481973111629486,0.07308071851730347,0.05831397324800491,0.049292027950286865,0.06722132861614227
35,0.1856367141008377,0.12054990977048874,0.15059082210063934,0.17436005175113678,0.15872548520565033,0.1351928859949112
36,0.2009328156709671,0.1935543268918991,0.12925249338150024,0.15305301547050476,0.13979017734527588,0.1384919136762619
37,0.0479513518512249,0.04242650046944618,0.047962624579668045,0.051679376512765884,0.05625804886221886,0.0602504126727581
38,0.27258968353271484,0.37837445735931396,0.3454485833644867,0.2039131373167038,0.16434228420257568,0.16281862556934357
39,0.12494175136089325,0.09707371145486832,0.0965745747089386,0.10775017738342285,0.1605684608221054,0.23691977560520172
40,0.14239658415317535,0.14176695048809052,0.19718489050865173,0.2608145773410797,0.24135084450244904,0.23246994614601135
41,0.24806834757328033,0.26709792017936707,0.14997388422489166,0.14492593705654144,0.24409034848213196,0.3202590346336365
42,0.21179573237895966,0.22115056216716766,0.15666277706623077,0.11892015486955643,0.11382955312728882,0.13509948551654816
43,0.09447508305311203,0.06270061433315277,0.04606175422668457,0.053723547607660294,0.05294463410973549,0.05286727473139763
