,Epsilon,Top1,Top5,Confidence
0,0.0,0.844,0.971,0.623874843120575
1,1.0,0.186,0.376,0.16215144097805023
2,2.0,0.112,0.242,0.14112670719623566
3,4.0,0.086,0.186,0.13971178233623505
4,8.0,0.086,0.203,0.15714217722415924
5,16.0,0.1,0.243,0.18562039732933044
6,32.0,0.071,0.182,0.2043718546628952
7,48.0,0.03,0.097,0.2523998022079468
8,64.0,0.02,0.038,0.3014655113220215
9,96.0,0.004,0.017,0.32679614424705505
10,128.0,0.001,0.008,0.32362669706344604
