,Epsilon,Top1,Top5,Confidence
0,0.0,0.844,0.971,0.6238749027252197
1,1.0,0.094,0.227,0.14007389545440674
2,2.0,0.015,0.032,0.14470456540584564
3,4.0,0.001,0.003,0.2252679169178009
4,8.0,0.0,0.0,0.37173953652381897
5,16.0,0.0,0.0,0.5348743796348572
6,32.0,0.0,0.0,0.6398593783378601
