,Epsilon,Top1,Top5,Confidence
0,0.0,0.844,0.971,0.623874843120575
1,1.0,0.141,0.296,0.14616188406944275
2,2.0,0.073,0.16,0.13158553838729858
3,4.0,0.024,0.048,0.13937363028526306
4,8.0,0.003,0.01,0.19362445175647736
